sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,product_ean
485842,,Default,simple,,base,"ACTVATED PROBIOTICS BIOME DENTAL 
FOR MOUTH HEALTH - 28X1G SACHETS",,,,1,manufacturer=ACTIVATED PROBIOTICS,"Catalog, Search",39.95,,,,,,"ACTVATED;PROBIOTICS;BIOME;DENTAL;
FOR;MOUTH;HEALTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9349308001977
437991,,Default,simple,"Default Category,Default Category/Healthcare",base,ALVITA ALL-IN -ONE CONTACT LENS SOLUTION - 120ML,,,,1,manufacturer=ALVITA,"Catalog, Search",7,,,,,,ALVITA;ALL-IN;-ONE;CONTACT;LENS;SOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8431306084029
339133,,Default,simple,,base,CALYPSO SUN LOTION ALL SCHOOL DAY LONG SPF40 - 150ML,,,,1,manufacturer=CALYPSO,"Catalog, Search",13.99,,,,,,CALYPSO;SUN;LOTION;ALL;SCHOOL;DAY;LONG;SPF40,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017371150789
373211,,Default,simple,,base,CALYPSO SUN LOTION FACE/NECK SERUM SPF 50  - 50ML,,,,1,manufacturer=CALYPSO,"Catalog, Search",8.99,,,,,,CALYPSO;SUN;LOTION;FACE/NECK;SERUM;SPF;50;,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017371157573
291968,,Default,simple,,base,ELASTOPLAST SENSITIVE XL 6 X 7CM STRIPS - 1,,,,1,manufacturer=ELASTOPLAST,"Catalog, Search",6.99,,,,,,ELASTOPLAST;SENSITIVE;XL;6;X;7CM;STRIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005800278907
368293,,Default,simple,,base,FAIRY LEMON  WASHING UP LIQUID - 1015ML,,,,1,manufacturer=FAIRY,"Catalog, Search",7.99,,,,,,FAIRY;LEMON;;WASHING;UP;LIQUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8006540994399
483271,,Default,simple,"Default Category,Default Category/Fragrances,Default Category/Fragrances/Mens,Default Category/Fragrances/Mens/Eau De Parfum",base,GIORGIO ARMANI ACQUA DI GIO PARFUM SPRAY - 200ML,,,,1,manufacturer=GIORGIO ARMANI,"Catalog, Search",165,,,,,,GIORGIO;ARMANI;ACQUA;DI;GIO;PARFUM;SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614273954150
462051,,Default,simple,"Default Category,Default Category/Fragrances,Default Category/Fragrances/Mens,Default Category/Fragrances/Mens/Eau De Parfum",base,GIORGIO ARMANI ACQUA DI GIO PROFONDO PARFUM SPRAY - 100ML,,,,1,manufacturer=GIORGIO ARMANI,"Catalog, Search",117,,,,,,GIORGIO;ARMANI;ACQUA;DI;GIO;PROFONDO;PARFUM;SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614273953696
442299,,Default,simple,"Default Category,Default Category/Fragrances,Default Category/Fragrances/Mens,Default Category/Fragrances/Mens/Eau De Parfum",base,GIORGIO ARMANI ACQUA DI GIO PROFONDO PARFUM SPRAY - 50ML,,,,1,manufacturer=GIORGIO ARMANI,"Catalog, Search",92,,,,,,GIORGIO;ARMANI;ACQUA;DI;GIO;PROFONDO;PARFUM;SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614273953764
428068,,Default,simple,"Default Category,Default Category/Fragrances,Default Category/Fragrances/Mens,Default Category/Fragrances/Mens/Eau De Parfum",base,GIORGIO ARMANI ACQUA DI GIO PROFONDO PARFUM SPRAY - 200ML,,,,1,manufacturer=GIORGIO ARMANI,"Catalog, Search",122,,,,,,GIORGIO;ARMANI;ACQUA;DI;GIO;PROFONDO;PARFUM;SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614273953825
