sku,qty
655619,2
100005,4
275449,6
108584,1
650923,13
634837,45
155312,50
172082,4
100017,10
104588,3
100041,3
100038,3
143405,9
286996,9
474201,16
106192,2
244223,12
606008,26
270487,2
679015,128
425032,2
618392,14
256929,79
268057,177
661439,239
469966,11
429081,18
204357,10
144417,15
279820,2
187851,20
685751,28
434683,1
101760,2
267269,20
100566,20
264909,27
300103,6
105675,1
105676,1
107707,2
400927,1
250468,1
140817,1
497284,1
465834,1
411324,10
260915,13
159153,2
614817,1
223589,7
295716,6
101673,10
125788,18
418034,2
447516,2
100365,2
666978,16
477446,50
447662,36
638909,128
100420,2
248916,24
100417,4
112909,2
284199,3
212717,25
240597,70
497072,1
405805,3
105721,16
257018,4
183741,2
450559,1
494334,1
231002,104
608368,19
315460,3
300202,4
708842,19
222476,23
244016,16
358055,99
101713,12
357260,4
641238,13
100535,2
652205,1
106931,5
103917,4
256623,2
215316,1
252019,2
241549,3
436756,160
273372,4
492639,1
636062,2
286666,3
470465,49
231457,9
693339,3
109752,2
678879,3
430451,1
490602,1
448539,1
433467,2
426782,1
464819,1
483903,1
436413,1
488693,1
102731,2
259243,38
366729,112
391980,49
411021,1
437481,1
442146,1
426366,1
605702,23
287488,61
206960,35
459587,3
436582,52
632828,36
100672,1
483165,1
162703,4
101858,1
108245,25
100761,11
210433,2
100787,5
271008,2
682303,2
498042,14
290982,14
410748,1
457429,12
402479,5
403016,2
460981,2
488756,1
288952,33
423503,3
103838,15
451474,1
235309,23
427852,24
496727,1
406385,1
183461,5
151615,20
269848,4
221057,43
190152,5
438989,68
278936,1
291053,9
481507,8
400970,1
472212,1
416873,1
463919,1
426533,1
422906,1
100133,13
288348,10
416478,6
610251,20
239042,45
100207,1
272623,3
433544,17
652236,38
264152,7
276279,8
462279,2
100521,3
269112,2
199783,6
679445,14
438160,1
355384,22
325788,8
303395,8
354277,2
305702,3
235334,3
489955,1
639819,4
441146,1
100275,18
100279,14
481843,1
221860,24
289323,8
228532,16
104510,2
452924,1
258625,13
277108,2
253302,8
284170,6
220550,2
447523,4
242058,14
281455,8
434913,7
283590,6
101088,10
605894,2
627032,3
104007,4
104006,5
491888,3
438939,4
437636,1
695313,6
665410,78
677617,57
